cid	kmname	str
1	source_and_reliability	source_and_reliability
1	source_and_reliability	source and reliability
1	source_and_reliability	source reliability
2	history_source	source
2	history_source	historian
2	history_source	history source
2	history_source	history obtained from
2	history_source	history obtain from
2	history_source	history obtain
2	history_source	HX obtained from
2	history_source	hx obtain from
2	history_source	hx obtain
2	history_source	history_source
2	history_source	SOURCES OF INFORMATION
2	history_source	source of information
2	history_source	source information
2	history_source	informant
3	reliability	reliability
3	reliability	reliability
4	document_types	document types
4	document_types	document type
4	document_types	document_types
5	general_history_and_physical	H&P
5	general_history_and_physical	h p
5	general_history_and_physical	history and physical
5	general_history_and_physical	history physical
5	general_history_and_physical	general_history_and_physical
5	general_history_and_physical	medical history and general physical examination
5	general_history_and_physical	medical history general physical examination
5	general_history_and_physical	general history and physical
5	general_history_and_physical	general history physical
6	inpatient_history_and_physical	inpatient_history_and_physical
6	inpatient_history_and_physical	admission history and physical
6	inpatient_history_and_physical	admission history physical
6	inpatient_history_and_physical	inpatient history and physical
6	inpatient_history_and_physical	inpatient history physical
6	inpatient_history_and_physical	admitting note
6	inpatient_history_and_physical	admit note
6	inpatient_history_and_physical	inpatient h&p
6	inpatient_history_and_physical	inpatient h p
7	clinic_history_and_physical	clinic history and physical
7	clinic_history_and_physical	clinic history physical
7	clinic_history_and_physical	clinic_history_and_physical
7	clinic_history_and_physical	outpatient h&p
7	clinic_history_and_physical	out patient h p
7	clinic_history_and_physical	outpatient history and physical
7	clinic_history_and_physical	out patient history and physical
7	clinic_history_and_physical	out patient history physical
7	clinic_history_and_physical	clinic h&p
7	clinic_history_and_physical	clinic h p
8	attending_admission_confirmation_note	attending_admission_confirmation_note
8	attending_admission_confirmation_note	attending admission confirmation note
8	attending_admission_confirmation_note	attending admission note
9	discharge_summary	DS
9	discharge_summary	ds
9	discharge_summary	discharge summary
9	discharge_summary	discharge_summary
9	discharge_summary	DCS
9	discharge_summary	dcs
10	clinic_note	clinic visit
10	clinic_note	clinic_note
10	clinic_note	clinic note
11	progress_note	progress note
11	progress_note	inpatient progress note
11	progress_note	progress_note
12	procedure_note	procedure note
12	procedure_note	procedure_note
13	epidural_procedure_note	APS epidural_procedure_note
13	epidural_procedure_note	a p s epidural_procedure_note
13	epidural_procedure_note	epidural procedure note
13	epidural_procedure_note	epidural_procedure_note
13	epidural_procedure_note	epidural note
14	consultation_note	consultation_note
14	consultation_note	consultation note
15	operative_notes	operative_notes
15	operative_notes	operative notes
15	operative_notes	operative note
16	post_operative_note	post_operative_note
16	post_operative_note	post operative note
17	brief_operative_note	brief_operative_note
17	brief_operative_note	brief operative note
18	providers	provider
18	providers	providers
18	providers	provider
18	providers	providers
19	providers_by_type	providers_by_type
19	providers_by_type	providers by type
19	providers_by_type	provider by type
19	providers_by_type	provider type
20	physician	physician
20	physician	physician
21	dictating_physician	dictating_physician
21	dictating_physician	dictating physician
21	dictating_physician	dictate physician
21	dictating_physician	Dictated By
21	dictating_physician	dictate by
21	dictating_physician	dictate
22	requesting_physician	requesting_physician
22	requesting_physician	requesting physician
22	requesting_physician	request physician
23	private_physician	private physician
23	private_physician	private_physician
24	surgeon	surgeon
24	surgeon	surgeon
25	pediatrician	pediatrician
25	pediatrician	pediatrician
26	obstetrician	obstetrician
26	obstetrician	obstetrician
27	primary_physician	pcp
27	primary_physician	general practitioner
27	primary_physician	primary physician
27	primary_physician	primary care provider
27	primary_physician	primary care physician
27	primary_physician	gp
27	primary_physician	primary_physician
28	other_housestaff	other_housestaff
28	other_housestaff	other housestaff
28	other_housestaff	other house staff
29	attending_physician	attending physician
29	attending_physician	attending
29	attending_physician	attending_physician
30	discharge_attending_physician	discharge attending physician
30	discharge_attending_physician	discharge_attending_physician
31	medicine_attending_physician	medicine attending
31	medicine_attending_physician	medicine attending physician
31	medicine_attending_physician	medicine_attending_physician
32	surgery_attending_physician	surgery attending
32	surgery_attending_physician	surgery_attending_physician
32	surgery_attending_physician	surgery attending physician
33	anesthesiologist	anesthesiologist
33	anesthesiologist	anesthesiologist
34	additional_attending_physician	additional attending physician
34	additional_attending_physician	additional_attending_physician
35	additional_resident	additional resident
35	additional_resident	additional_resident
36	intern	intern
36	intern	intern
37	resident	resident
37	resident	resident
38	fellow	clinical_fellow
38	fellow	fellow
38	fellow	fellow
39	pathologist	pathologist
39	pathologist	pathologist
40	radiologist	radiologist
40	radiologist	radiologist
41	infectious_disease_attending	infectious_disease_attending
41	infectious_disease_attending	infectious disease attending physician
41	infectious_disease_attending	infectious disease attending
42	cardiologist	cardiologist
42	cardiologist	cardiologist
43	nonphysician	nonphysician
43	nonphysician	nonphysician
44	midwife	primary midwife
44	midwife	midwife
44	midwife	midwife
45	orthodontist	orthodontist
45	orthodontist	orthodontist
46	nurse_practitioner	nurse practitioner
46	nurse_practitioner	nurse_practitioner
47	neonatal_nurse_practitioner	neonatal_nurse_practitioner
47	neonatal_nurse_practitioner	neonatal nurse practitioner
47	neonatal_nurse_practitioner	nnp
48	family_nurse_practitioner	family_nurse_practitioner
48	family_nurse_practitioner	family nurse practitioner
48	family_nurse_practitioner	fnp
49	providers_by_role	providers_by_role
49	providers_by_role	providers by role
49	providers_by_role	provider by role
49	providers_by_role	provider role
50	surgical_assistants	assistants
50	surgical_assistants	assistant
50	surgical_assistants	assistant
50	surgical_assistants	surgical assistant
50	surgical_assistants	surgical_assistants
51	first_assistant	first_assistant
51	first_assistant	first assistant
52	second_assistant	second assistant
52	second_assistant	second_assistant
53	referral	referral source
53	referral	referral
53	referral	referral
54	referring_physician	referring obstetrician
54	referring_physician	refer obstetrician
54	referring_physician	referring physicians
54	referring_physician	refer physician
54	referring_physician	referring pediatrician
54	referring_physician	refer pediatrician
54	referring_physician	referring_physician
54	referring_physician	referring physician
54	referring_physician	refer physician
55	additional_referring_physician	additional_referring_physician
55	additional_referring_physician	additional referring physician
55	additional_referring_physician	additional refer physician
56	consultant	consultants
56	consultant	consultant
56	consultant	consultations
56	consultant	consultation
56	consultant	I have requested consultation by
56	consultant	i have request consultation by
56	consultant	i have request consultation
56	consultant	consultant
56	consultant	consulting physician
56	consultant	consult physician
56	consultant	consultation
56	consultant	consultant
57	operating_room_consultation	operating_room_consultation
57	operating_room_consultation	operating room consultation
57	operating_room_consultation	operate room consultation
58	endoscopist	endoscopist
58	endoscopist	endoscopist
59	perfusionist	perfusionist
59	perfusionist	perfusionist
60	standard_coding_systems	standard coding systems
60	standard_coding_systems	standard code system
60	standard_coding_systems	standard_coding_systems
61	cpt_code	cpt
61	cpt_code	cpt code
61	cpt_code	cpt_code
62	icd_code	icd10 code
62	icd_code	icd code
62	icd_code	icd9 code
62	icd_code	icd_code
62	icd_code	ICD9
62	icd_code	icd9
62	icd_code	icd10
63	patient_history	patient_history
63	patient_history	patient history
63	patient_history	pt history
64	demographics	demographics
64	demographics	demographics
65	age	age
65	age	patient age
65	age	age
66	estimated_gestational_age	Gestational age
66	estimated_gestational_age	gestational age
66	estimated_gestational_age	estimated_gestational_age
66	estimated_gestational_age	ega
66	estimated_gestational_age	estimated gestational age
66	estimated_gestational_age	estimate gestational age
67	ega_by_date	ega by date
67	ega_by_date	ega date
67	ega_by_date	ega_by_date
67	ega_by_date	Gestational Age by dates
67	ega_by_date	gestational age by date
67	ega_by_date	gestational age date
68	ega_by_exam	ega by
68	ega_by_exam	ega
68	ega_by_exam	ega_by_exam
68	ega_by_exam	ega by examination
68	ega_by_exam	ega examination
68	ega_by_exam	ega by exam
68	ega_by_exam	ega exam
68	ega_by_exam	Gestational Age by exam
68	ega_by_exam	gestational age by exam
68	ega_by_exam	gestational age exam
69	ega_by_ultrasound	ega_by_ultrasound
69	ega_by_ultrasound	Gestational Age by ultrasound
69	ega_by_ultrasound	gestational age by ultrasound
69	ega_by_ultrasound	gestational age ultrasound
69	ega_by_ultrasound	ega by ultrasound
69	ega_by_ultrasound	ega ultrasound
70	race	race
70	race	Race/Ethnic Background
70	race	race ethnic background
70	race	race
71	gender	sex
71	gender	gender
71	gender	gender
72	address	address
72	address	Place of residence
72	address	place of residence
72	address	place residence
72	address	location
72	address	address
73	home_address	home_address
73	home_address	home address
74	work_address	work address
74	work_address	work_address
75	emergency_contact	emergency contact
75	emergency_contact	emergency_contact
76	insurance	insurance
76	insurance	insurance
77	phone_number	phone number
77	phone_number	phone_number
77	phone_number	phone
78	home_phone_number	home_phone_number
78	home_phone_number	home phone
78	home_phone_number	home phone number
78	home_phone_number	home number
79	cell_phone_number	cellphone
79	cell_phone_number	cell phone
79	cell_phone_number	cell_phone_number
79	cell_phone_number	cell phone number
79	cell_phone_number	cell number
79	cell_phone_number	cellular
79	cell_phone_number	cell
80	work_phone_number	work
80	work_phone_number	work phone
80	work_phone_number	work phone number
80	work_phone_number	work number
80	work_phone_number	work_phone_number
81	patient_name	patient
81	patient_name	patient name
81	patient_name	patient_name
81	patient_name	name
82	mrn	medical record number
82	mrn	mrn
82	mrn	mr
82	mrn	mr no
82	mrn	PATIENT MEDICAL RECORD NUMBER
